Zip,Total,white_1,black_1,white_2,black_2
8600000US28452,934,429,491,0,14
8600000US28436,1975,1395,309,124,0
8600000US28441,3818,1615,925,888,0
8600000US28443,22138,20235,520,404,0
8600000US28458,7024,2788,2890,1011,0
8600000US28463,9741,5417,3203,462,11
8600000US28479,6274,5248,614,108,3
8600000US28510,1503,1301,115,36,0
8600000US28512,3236,3097,36,37,5
8600000US28515,2584,1270,1022,103,24
8600000US28421,1585,913,501,145,0
8600000US28422,8404,5915,1812,144,23
8600000US28423,2359,598,685,117,0
8600000US28430,2205,1653,322,108,0
8600000US28445,7278,6594,88,195,0
8600000US28448,887,656,115,0,0
8600000US28449,1932,1887,0,38,0
8600000US28468,5093,4771,191,20,0
8600000US28745,461,461,0,0,0
8600000US28751,3387,3153,45,128,0
8600000US28752,30591,25915,1418,1488,11
8600000US28768,7388,6854,281,26,0
8600000US28805,19818,16249,1825,1328,0
8600000US28906,19401,17623,326,458,0
8600000US28390,23790,10695,7023,1859,327
8600000US28344,4199,2061,566,887,0
8600000US28360,14931,2792,1624,748,0
8600000US28391,5984,4664,648,166,142
8600000US28401,24279,11694,9265,1304,125
8600000US28708,375,375,0,0,0
8600000US28712,20017,17563,1216,227,23
8600000US28717,1640,1558,0,9,0
8600000US28742,2660,2619,40,0,0
8600000US28747,2243,2099,0,7,0
8600000US28009,1221,853,307,0,0
8600000US28016,13046,10528,1451,394,0
8600000US28034,17327,13882,1872,359,18
8600000US28037,20110,18641,324,405,0
8600000US28056,34401,27069,3115,1379,7
8600000US28071,2649,2524,104,5,0
8600000US28075,18621,12988,3259,342,14
8600000US28079,36737,27641,3463,2547,147
8600000US28080,7941,7186,240,10,0
8600000US28089,217,191,17,2,0
8600000US28115,37023,29532,3235,2416,23
8600000US28120,21119,16640,2985,445,60
8600000US28169,146,130,16,0,0
8600000US28202,12745,7746,3148,615,29
8600000US28206,11919,1454,8611,635,14
8600000US28207,9539,8852,292,165,6
8600000US28270,35059,25667,3698,1228,12
8600000US28301,17600,2877,13000,269,88
8600000US28311,35641,14194,14985,2288,197
8600000US28385,2562,1130,1170,38,57
8600000US28323,3899,2152,1138,268,0
8600000US28325,444,200,68,114,0
8600000US28372,14022,1511,1876,58,10
8600000US28387,15526,12067,2333,543,0
8600000US28399,1990,1123,591,43,0
8600000US28457,10303,7019,1078,387,0
8600000US28447,1643,797,509,263,0
8600000US28454,2503,1655,764,61,5
8600000US28455,1914,1804,74,16,0
8600000US28460,10490,8529,133,814,103
8600000US28465,7252,7023,0,81,1
8600000US28467,10551,9172,799,196,0
8600000US28707,160,160,0,0,0
8600000US28709,2302,2235,0,37,0
8600000US28519,260,185,74,1,0
8600000US28527,1016,910,59,47,0
8600000US28528,590,570,0,0,0
8600000US28529,1706,1429,143,14,4
8600000US28012,22968,18215,1918,505,7
8600000US28027,63423,40559,10913,3465,428
8600000US28032,3296,2642,90,168,0
8600000US28052,35302,18721,11588,2710,85
8600000US28076,376,272,104,0,0
8600000US28081,27557,18383,4724,942,34
8600000US28090,8473,6816,1370,119,0
8600000US28129,5287,4863,197,159,0
8600000US28146,27496,23741,1851,652,22
8600000US28167,2591,2067,437,63,0
8600000US28211,30789,23163,4086,985,133
8600000US28213,40724,8139,20893,3413,300
8600000US28762,6958,6383,100,26,0
8600000US28777,10314,8733,586,522,11
8600000US28778,9939,8413,324,867,8
8600000US28902,1377,1356,3,0,0
8600000US28909,1031,854,0,143,0
8600000US28104,31085,25677,2070,1233,65
8600000US28109,340,240,70,9,0
8600000US28117,39278,33225,1846,1288,18
8600000US28125,2262,2198,0,44,0
8600000US28128,7056,5228,1102,120,3
8600000US28166,9394,7683,1299,172,0
8600000US28203,15946,10956,3473,239,21
8600000US28215,62533,14921,31379,5553,677
8600000US28305,5705,3688,1542,177,4
8600000US28326,23385,14130,3981,1594,241
8600000US28332,354,203,84,40,0
8600000US28339,7357,4656,2154,133,3
8600000US28341,4843,1946,1293,1181,6
8600000US28348,35673,18913,9881,2312,106
8600000US28352,25760,10923,10575,254,13
8600000US28358,38760,15817,11628,617,64
8600000US28409,34180,29815,854,1698,7
8600000US28420,3845,3265,289,0,0
8600000US28114,7139,5999,565,408,0
8600000US28746,2371,2268,27,6,0
